op_index,mode,type,consent_id,submit_node,nonce,tx_hash,block_number,block_timestamp,submit_epoch_ms,confirm_epoch_ms,latency_ms,gas_used,status,valid,window,depends_on,error
0,sequential,grant,0xc6f4efec559ad639a161a96beec268d5415ed347f86d20a68a132b926460393f,node1,61,0x860a57c6df3653d29e8c89ef1ffc11f56e73b6c1176f4b74683d1482f89fd958,11049,1780600447,1780600445585,1780600447170,1585,92106,success,,0,,
1,sequential,verify,0xc6f4efec559ad639a161a96beec268d5415ed347f86d20a68a132b926460393f,node1,62,0xf5cc227bcfa2596a8837808cf83a62523d42bfc78fc1900d07e3a57073c15292,11050,1780600449,1780600447185,1780600449272,2087,26259,success,true,0,0,
2,sequential,verify,0xc6f4efec559ad639a161a96beec268d5415ed347f86d20a68a132b926460393f,node1,63,0x26b378121a2f4a0459a3be616e901e9d380c2400588b401331caa4709c985d90,11051,1780600451,1780600449287,1780600451126,1839,26259,success,true,0,0,
3,sequential,verify,0xc6f4efec559ad639a161a96beec268d5415ed347f86d20a68a132b926460393f,node1,64,0x8f7ad8e1d3a56a5050e485069d989ea4abe3893fcc1089bff54707765491f377,11052,1780600453,1780600451139,1780600453263,2124,26259,success,true,0,0,
4,sequential,verify,0xc6f4efec559ad639a161a96beec268d5415ed347f86d20a68a132b926460393f,node1,65,0x0c9fc4b6991c08b384fa26025ce7de3520b379c3538b1deef44b3b79e5e67c3b,11053,1780600455,1780600453277,1780600455135,1858,26259,success,true,0,0,
5,sequential,verify,0xc6f4efec559ad639a161a96beec268d5415ed347f86d20a68a132b926460393f,node1,66,0x50df5defd6927728220ecb60c57e706c8f5146193064c74f107884b40a0fa867,11054,1780600457,1780600455148,1780600457267,2119,26259,success,true,0,0,
6,sequential,verify,0xc6f4efec559ad639a161a96beec268d5415ed347f86d20a68a132b926460393f,node1,67,0x9b1272ef2024f5e53eb6fdd825979a959f2d7f7793e6fdc88ea288ba34ae2440,11055,1780600459,1780600457280,1780600459136,1856,26259,success,true,0,0,
7,sequential,verify,0xc6f4efec559ad639a161a96beec268d5415ed347f86d20a68a132b926460393f,node1,68,0x8eae6dab2c8c7744ab7246bbeff50b89783823cbfee0438d41c3f1bc65d73635,11056,1780600461,1780600459149,1780600461269,2120,26259,success,true,0,0,
8,sequential,grant,0x470e7ae7e776cf8f8b885c4e67e938433b576cd7248905036feef5ec58d5f504,node1,69,0x3c474dc3f5cac4166e6d532ba198292f42e54d92d7bab818a9a3bcbcf6c45818,11057,1780600463,1780600461282,1780600463144,1862,92106,success,,0,,
9,sequential,verify,0x470e7ae7e776cf8f8b885c4e67e938433b576cd7248905036feef5ec58d5f504,node1,70,0x6c1bc1bca4e401a2128436f100d64a9c9637be7dbee4b218cc6af1c4f4ff1dba,11058,1780600465,1780600463156,1780600465279,2123,26259,success,true,0,8,
