mode,consent_id,node,endpoint,revoke_submit_epoch_ms,first_seen_epoch_ms,block_number,delta_ms_vs_submit,delta_ms_vs_first_node
sequential,0x5baf6cec8485e28860d95c2f37d047dc38de22a497d20a1642ee399b8e961c3d,node1,http://localhost:8545,1781399989151,1781399991098,389,1947,0
sequential,0x5baf6cec8485e28860d95c2f37d047dc38de22a497d20a1642ee399b8e961c3d,node2,http://localhost:8546,1781399989151,1781399991174,389,2023,76
sequential,0x5baf6cec8485e28860d95c2f37d047dc38de22a497d20a1642ee399b8e961c3d,node3,http://localhost:8547,1781399989151,1781399991138,389,1987,40
sequential,0x4f12ee72c729c68862063e9fd55a4cd874e31c881fd8841c8c9224c11b427d8c,node1,http://localhost:8545,1781400013074,1781400015201,401,2127,141
sequential,0x4f12ee72c729c68862063e9fd55a4cd874e31c881fd8841c8c9224c11b427d8c,node2,http://localhost:8546,1781400013074,1781400015060,401,1986,0
sequential,0x4f12ee72c729c68862063e9fd55a4cd874e31c881fd8841c8c9224c11b427d8c,node3,http://localhost:8547,1781400013074,1781400015265,401,2191,205
sequential,0x2c9719c97ffe8fe017a61673e6e4f2718a5aac56863b7f8b02fe52ffccafdc5a,node1,http://localhost:8545,1781400035109,1781400037207,412,2098,179
sequential,0x2c9719c97ffe8fe017a61673e6e4f2718a5aac56863b7f8b02fe52ffccafdc5a,node2,http://localhost:8546,1781400035109,1781400037118,412,2009,90
sequential,0x2c9719c97ffe8fe017a61673e6e4f2718a5aac56863b7f8b02fe52ffccafdc5a,node3,http://localhost:8547,1781400035109,1781400037028,412,1919,0
sequential,0x2afbc0e81d9797a51a96e8c9c87aa94e85125c0271ffd8cdf8b89412f3dd360b,node1,http://localhost:8545,1781400039088,1781400041093,414,2005,0
sequential,0x2afbc0e81d9797a51a96e8c9c87aa94e85125c0271ffd8cdf8b89412f3dd360b,node2,http://localhost:8546,1781400039088,1781400041269,414,2181,176
sequential,0x2afbc0e81d9797a51a96e8c9c87aa94e85125c0271ffd8cdf8b89412f3dd360b,node3,http://localhost:8547,1781400039088,1781400041176,414,2088,83
sequential,0x37b60bd7c773721c7c7aa5270cb65088157d0114630ad5a335a48e82e2ead017,node1,http://localhost:8545,1781400085043,1781400087168,437,2125,127
sequential,0x37b60bd7c773721c7c7aa5270cb65088157d0114630ad5a335a48e82e2ead017,node2,http://localhost:8546,1781400085043,1781400087169,437,2126,128
sequential,0x37b60bd7c773721c7c7aa5270cb65088157d0114630ad5a335a48e82e2ead017,node3,http://localhost:8547,1781400085043,1781400087041,437,1998,0
sequential,0x33fdc981f6fe8ae7bee34e3dbaa556aec3edfb9d914c83934ac80c6e95eb177a,node1,http://localhost:8545,1781400101246,1781400103209,445,1963,107
sequential,0x33fdc981f6fe8ae7bee34e3dbaa556aec3edfb9d914c83934ac80c6e95eb177a,node2,http://localhost:8546,1781400101246,1781400103247,445,2001,145
sequential,0x33fdc981f6fe8ae7bee34e3dbaa556aec3edfb9d914c83934ac80c6e95eb177a,node3,http://localhost:8547,1781400101246,1781400103102,445,1856,0
sequential,0x8ccbbc5a06085a0dd2efaba2f52fd2d117dc3f29351e5bc4a91f8118deb495c7,node1,http://localhost:8545,1781400113186,1781400115118,451,1932,0
sequential,0x8ccbbc5a06085a0dd2efaba2f52fd2d117dc3f29351e5bc4a91f8118deb495c7,node2,http://localhost:8546,1781400113186,1781400115185,451,1999,67
sequential,0x8ccbbc5a06085a0dd2efaba2f52fd2d117dc3f29351e5bc4a91f8118deb495c7,node3,http://localhost:8547,1781400113186,1781400115258,451,2072,140
sequential,0x4626b59df6ea3897d64eb93611a0337c301ab7e8cd918b95f2e3fd1daa333a77,node1,http://localhost:8545,1781400115046,1781400117184,452,2138,113
sequential,0x4626b59df6ea3897d64eb93611a0337c301ab7e8cd918b95f2e3fd1daa333a77,node2,http://localhost:8546,1781400115046,1781400117260,452,2214,189
sequential,0x4626b59df6ea3897d64eb93611a0337c301ab7e8cd918b95f2e3fd1daa333a77,node3,http://localhost:8547,1781400115046,1781400117071,452,2025,0
