op_index,mode,type,consent_id,submit_node,nonce,tx_hash,block_number,block_timestamp,submit_epoch_ms,confirm_epoch_ms,latency_ms,gas_used,status,valid,window,depends_on,error
0,sequential,grant,0xbf7aabbf5824a237e74f8e567c4f3b02c59644c7e66c8efc33ba7a07b4047624,node1,1,0x43bab2b885a9c3e70605329e7e2bb7a18fd02482f07a2f45861c1cf713be04fd,278,1781399769,1781399768780,1781399769328,548,92106,success,,0,,
1,sequential,revoke,0xbf7aabbf5824a237e74f8e567c4f3b02c59644c7e66c8efc33ba7a07b4047624,node1,2,0x0116d2d2ed1db00bc991607813d0e1eeeb5a18394750fdcf3ba1d69753b51352,279,1781399771,1781399769341,1781399771161,1820,51222,success,,0,0,
2,sequential,grant,0xbf9c6b60227e74ae3d0a095828dee9e89b6418bad5a7951ddf4687bf6e0179c4,node1,3,0x621eb0cfb5c51a0e172ea99ee2dda131914435dc85a3798ae4972db2022d4206,280,1781399773,1781399771175,1781399773047,1872,92106,success,,0,,
3,sequential,verify,0xbf7aabbf5824a237e74f8e567c4f3b02c59644c7e66c8efc33ba7a07b4047624,node1,4,0xc5b4cb8e03accbce19f04178a4559e64f4ae09cbf5b02d921520303ca817593c,281,1781399775,1781399773060,1781399775192,2132,26259,success,false,0,0,
4,sequential,verify,0xbf9c6b60227e74ae3d0a095828dee9e89b6418bad5a7951ddf4687bf6e0179c4,node1,5,0xdc1aecbcb8b61aebbf2167467de909db6651aee3a8de983885b02108f6f78b3b,282,1781399777,1781399775207,1781399777290,2083,26259,success,true,0,2,
5,sequential,grant,0x95f3ea6498791fd3b1ec579e090a281cb90a9f24f2fcbd327ec93245da14a714,node1,6,0x1a36e76f2153f85638352d1c97da122a1040c13f0a2c590eadcd8c583c7c4977,283,1781399779,1781399777304,1781399779169,1865,92106,success,,0,,
6,sequential,grant,0xe5aaa53e2ef89fef245d115b5d4bc8992072d5bc21763c139131d8ab2c451017,node1,7,0xd94c58dc847520cedde85f252d82447c645547b69a6907aad439d6f13ba78911,284,1781399781,1781399779182,1781399781043,1861,92094,success,,0,,
7,sequential,revoke,0xe5aaa53e2ef89fef245d115b5d4bc8992072d5bc21763c139131d8ab2c451017,node1,8,0xa8d011e1b796c95c34a7b39befadc5a92e5dba0234cbe743ac3cda6ea28657e8,285,1781399783,1781399781057,1781399783180,2123,51222,success,,0,6,
8,sequential,grant,0xefff9c3bcc406d4e860e6c92c9183653afafedb3e39cca9b1f4b18799d5cffbb,node1,9,0x16df0fa88213e4c4343e7f10566b7b8494c870521e91c81e1f71953ff7663acf,286,1781399785,1781399783193,1781399785050,1857,92106,success,,0,,
9,sequential,revoke,0xbf9c6b60227e74ae3d0a095828dee9e89b6418bad5a7951ddf4687bf6e0179c4,node1,10,0xb9716b102704a119a78171babd6549a151bc66216134e98b2ce6ceef1550b701,287,1781399787,1781399785062,1781399787180,2118,51222,success,,0,2,
10,sequential,grant,0x6622305c3b31f75d021230e48bc3ec870bd828059299f118dd509b8b8d42f2ba,node1,11,0x934bb46e9ef5454113124b6a1dd407bc11781d5f240c6b20d884be207783d7dc,288,1781399789,1781399787193,1781399789055,1862,92106,success,,0,,
11,sequential,grant,0xd7f71a202f324a7c6c1e612f471f25389ad28618984ba3ff652e53e3e8a11579,node1,12,0x059f70da6e23fb985e041017099102e87d7e7cfa8431d026d3cbbca247080d93,289,1781399791,1781399789068,1781399791187,2119,92094,success,,0,,
12,sequential,verify,0xd7f71a202f324a7c6c1e612f471f25389ad28618984ba3ff652e53e3e8a11579,node1,13,0xb06b6de13bbce03dc380bda87a389414afc383c665823327775ec993d2836cc7,290,1781399793,1781399791198,1781399793052,1854,26259,success,true,0,11,
13,sequential,grant,0xefc288ceeeb550238071598e6e537f709dcc35b38d10038c4ec86f3f78f55a63,node1,14,0x67bab9ade16582cc0d0ea36c276a082ca4a9a1b13e1c39287a97a55b72ae7c23,291,1781399795,1781399793065,1781399795184,2119,92106,success,,0,,
14,sequential,verify,0x95f3ea6498791fd3b1ec579e090a281cb90a9f24f2fcbd327ec93245da14a714,node1,15,0xf4914a2870d408d80035fa7dbfee751ab7e854c17f6a8f56a1cca832693bc557,292,1781399797,1781399795195,1781399797053,1858,26259,success,true,0,5,
15,sequential,grant,0xb2835f656a1b267fd4d4b3148ec80ce588ff64ec9cb77139d5c5ac5f9588b8a6,node1,16,0x9e129f63b8eb2e87f933029e30597d2e2453bcec71bcb768c02ee6fc34eb7e37,293,1781399799,1781399797066,1781399799186,2120,92106,success,,0,,
16,sequential,verify,0x95f3ea6498791fd3b1ec579e090a281cb90a9f24f2fcbd327ec93245da14a714,node1,17,0xd2ed60ab29a60fa8a997225f98f1e7a8ddab46da5d55c65378d40f41e91aeb15,294,1781399801,1781399799198,1781399801055,1857,26259,success,true,0,5,
17,sequential,verify,0xe5aaa53e2ef89fef245d115b5d4bc8992072d5bc21763c139131d8ab2c451017,node1,18,0x4f8e75a08208d2caae9deaf68fb16c8f8c37d32108da10c9e1e12d4dca8100cd,295,1781399803,1781399801067,1781399803181,2114,26259,success,false,0,6,
18,sequential,verify,0xbf7aabbf5824a237e74f8e567c4f3b02c59644c7e66c8efc33ba7a07b4047624,node1,19,0x68a5822a1fcffa15bc6a96088760e44bafe081a6f3aa37a57ac25c60b362aae7,296,1781399805,1781399803193,1781399805049,1856,26259,success,false,0,0,
19,sequential,grant,0xe3641e5c7b0a5c307aa7bac18806af9e833373769ea63845554fd0a51579005c,node1,20,0xae533b09cc5f7cbd892435b2a0b826f72880f68fe2bb138c53d8372495d5ed6d,297,1781399807,1781399805063,1781399807184,2121,92094,success,,0,,
20,sequential,verify,0xbf9c6b60227e74ae3d0a095828dee9e89b6418bad5a7951ddf4687bf6e0179c4,node1,21,0x99a2a8a783b3d11ac129a2304da8d7e07c7f0a722bad69f7fe8737898fed7a68,298,1781399809,1781399807195,1781399809047,1852,26259,success,false,0,2,
