mode,consent_id,node,endpoint,revoke_submit_epoch_ms,first_seen_epoch_ms,block_number,delta_ms_vs_submit,delta_ms_vs_first_node
sequential,0xbf7aabbf5824a237e74f8e567c4f3b02c59644c7e66c8efc33ba7a07b4047624,node1,http://localhost:8545,1781399769341,1781399771166,279,1825,6
sequential,0xbf7aabbf5824a237e74f8e567c4f3b02c59644c7e66c8efc33ba7a07b4047624,node2,http://localhost:8546,1781399769341,1781399771160,279,1819,0
sequential,0xbf7aabbf5824a237e74f8e567c4f3b02c59644c7e66c8efc33ba7a07b4047624,node3,http://localhost:8547,1781399769341,1781399771160,279,1819,0
sequential,0xe5aaa53e2ef89fef245d115b5d4bc8992072d5bc21763c139131d8ab2c451017,node1,http://localhost:8545,1781399781057,1781399783138,285,2081,0
sequential,0xe5aaa53e2ef89fef245d115b5d4bc8992072d5bc21763c139131d8ab2c451017,node2,http://localhost:8546,1781399781057,1781399783150,285,2093,12
sequential,0xe5aaa53e2ef89fef245d115b5d4bc8992072d5bc21763c139131d8ab2c451017,node3,http://localhost:8547,1781399781057,1781399783150,285,2093,12
sequential,0xbf9c6b60227e74ae3d0a095828dee9e89b6418bad5a7951ddf4687bf6e0179c4,node1,http://localhost:8545,1781399785062,1781399787034,287,1972,0
sequential,0xbf9c6b60227e74ae3d0a095828dee9e89b6418bad5a7951ddf4687bf6e0179c4,node2,http://localhost:8546,1781399785062,1781399787062,287,2000,28
sequential,0xbf9c6b60227e74ae3d0a095828dee9e89b6418bad5a7951ddf4687bf6e0179c4,node3,http://localhost:8547,1781399785062,1781399787060,287,1998,26
concurrent,0xd96df93fc915a59ea6c0874c43a16b8bad052ade663a6a37ad162cd60bf7c9ba,node1,http://localhost:8545,1781399829255,1781399831121,309,1866,0
concurrent,0xd96df93fc915a59ea6c0874c43a16b8bad052ade663a6a37ad162cd60bf7c9ba,node2,http://localhost:8546,1781399829255,1781399831273,309,2018,152
concurrent,0xd96df93fc915a59ea6c0874c43a16b8bad052ade663a6a37ad162cd60bf7c9ba,node3,http://localhost:8547,1781399829255,1781399831236,309,1981,115
concurrent,0xc76a2a6a539e6da65e0a685745de5a24cb9b8db155aebf9de9c5a18ef6b160a7,node1,http://localhost:8545,1781399829256,1781399831121,309,1865,0
concurrent,0xc76a2a6a539e6da65e0a685745de5a24cb9b8db155aebf9de9c5a18ef6b160a7,node2,http://localhost:8546,1781399829256,1781399831273,309,2017,152
concurrent,0xc76a2a6a539e6da65e0a685745de5a24cb9b8db155aebf9de9c5a18ef6b160a7,node3,http://localhost:8547,1781399829256,1781399831236,309,1980,115
concurrent,0xf75377cc32fa801678c0e74f343c30c87f94a661d83f21390e0b81be8d452c77,node1,http://localhost:8545,1781399829256,1781399831121,309,1865,0
concurrent,0xf75377cc32fa801678c0e74f343c30c87f94a661d83f21390e0b81be8d452c77,node2,http://localhost:8546,1781399829256,1781399831273,309,2017,152
concurrent,0xf75377cc32fa801678c0e74f343c30c87f94a661d83f21390e0b81be8d452c77,node3,http://localhost:8547,1781399829256,1781399831236,309,1980,115
